"","hgnc_symbol","logFC","PValue","FDR"
"unknown.3428","4631422I05Rik",-0.338665116294707,0.496618352682817,1
"unknown.931","Tlm",-0.337750680735552,0.381733995229572,1
"unknown.7869","2810004I08Rik",-0.337738121786284,0.29973346497872,1
"unknown.649","Cd209e",-0.337288843213856,0.427043895551524,1
"ENSG00000135517.1","Mip",-0.337112740457785,0.434993873518577,1
"ENSG00000124226.2","Rnf114",-0.336576827427741,0.449963661702325,1
"unknown.7040","Reg3b",-0.335409184701083,0.389053693756174,1
"ENSG00000106366","Serpine1",-0.334393128327024,0.177632237963233,1
"ENSG00000214102.1","Wee2",-0.333384336828184,0.396126105726276,1
"ENSG00000063015.2","Sez6",-0.332964728857162,0.418755197371233,1
"ENSG00000107438.1","Pdlim1",-0.332891394554263,0.349183223394928,1
"ENSG00000101115","Sall4",-0.33252636185042,0.309935380441077,1
"unknown.795","H2afy3",-0.331814294124264,0.434993873518577,1
"ENSG00000159650","Uroc1",-0.330676758957315,0.496618352682817,1
"ENSG00000178125.2","Ppp1r42",-0.330278501738018,0.368189123523743,1
"ENSG00000197892.1","Kif13b",-0.329966274791968,0.389053693756174,1
"unknown.7372","Sprr2a1",-0.329894825936246,0.342472347801466,1
"unknown.7889","Car3",-0.329093871374204,0.304886998047196,1
"ENSG00000164849.3","Gpr146",-0.327572976318176,0.314308103412191,1
"unknown.584","LOC102640089",-0.326656248087549,0.434993873518577,1
"ENSG00000164168.1","Tmem184c",-0.324803047380818,0.374152879497091,1
"ENSG00000186197.4","Edaradd",-0.324640895459625,0.33183599101798,1
"ENSG00000123892.1","Rab38",-0.323690001608078,0.385671010023114,1
"ENSG00000283632.1","Exoc3l2",-0.323609985938645,0.389053693756174,1
"ENSG00000106477.2","Cep41",-0.321431780009303,0.349183223394928,1
"ENSG00000163827.1","Lrrc2",-0.319345421824015,0.242925128491597,1
"ENSG00000164122","Asb5",-0.319335391515929,0.362033253104165,1
"ENSG00000089505.1","Cmtm1",-0.319302285114046,0.442627102119394,1
"unknown.9162","D9Ertd496e",-0.317856227184124,0.434993873518577,1
"unknown.663","Lce1a1",-0.317527296727399,0.427043895551524,1
"ENSG00000178053","Mlf1",-0.317274951192161,0.314881775702584,1
"ENSG00000123612.1","Acvr1c",-0.316797078794643,0.428208454695303,1
"unknown.2933","4930442G15Rik",-0.315236202628128,0.349183223394928,1
"unknown.8401","A430110A21Rik",-0.313736996074692,0.34283482883185,1
"ENSG00000182010","Rtkn2",-0.312999766409774,0.326135770448645,1
"ENSG00000056586","Rc3h2",-0.311996170336747,0.442627102119394,1
"ENSG00000088325.2","Tpx2",-0.310914708783615,0.396126105726276,1
"ENSG00000134121.3","Chl1",-0.310787890701246,0.434993873518577,1
"unknown.4008","AU022751",-0.309188626189408,0.463818798256563,1
