"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000156234.1","Cxcl13",-0.29480527924895,0.279200879978003,1
"ENSG00000069399","Bcl3",-0.294219758554403,0.338187483502068,1
"ENSG00000006016","Crlf1",-0.293706268860602,0.374175941153885,1
"ENSG00000124942.1","Ahnak",-0.293604133776694,0.428208454695303,1
"ENSG00000136997","Myc",-0.293493758322746,0.358399447940792,1
"ENSG00000161249","Dmkn",-0.292482715208944,0.415986556494832,1
"ENSG00000110680.1","Calca",-0.292212724943747,0.34283482883185,1
"ENSG00000132718.2","Syt11",-0.291193797961809,0.396571812686932,1
"ENSG00000174791","Rin1",-0.290875111397665,0.470369738972666,1
"ENSG00000006327","Tnfrsf12a",-0.290066842833397,0.283087605491972,1
"ENSG00000106546.1","Ahr",-0.289526868277259,0.342582690125346,1
"ENSG00000147588","Pmp2",-0.289402868966227,0.428208454695303,1
"unknown.9008","D130037M23Rik",-0.289044269749282,0.298594981116832,1
"ENSG00000164692.1","Col1a2",-0.288239745496737,0.348143035586114,1
"ENSG00000173193","Parp14",-0.288013979006743,0.324480740721244,1
"ENSG00000064932.1","Sbno2",-0.28725798641941,0.319310619327261,1
"ENSG00000164930.1","Fzd6",-0.286882240766827,0.372945586641584,1
"ENSG00000205744","Dennd1c",-0.286301535312543,0.358399447940792,1
"unknown.6536","9430011C21Rik",-0.285262641101771,0.372945586641584,1
"ENSG00000064932","Sbno2",-0.284864072202063,0.278617267266042,1
"ENSG00000023445.1","Birc3",-0.284354042447362,0.333707150905971,1
"unknown.8280","2900046F13Rik",-0.284102881967633,0.42219249420358,1
"ENSG00000179841.1","Akap5",-0.284057678384711,0.39119258773046,1
"ENSG00000101938","Chrdl1",-0.283669963837362,0.315305584621194,1
"unknown.9364","D7Ertd558e",-0.28362112149774,0.39119258773046,1
"ENSG00000122641","Inhba",-0.283492296426389,0.445206174777933,1
"ENSG00000147883","Cdkn2b",-0.282933411246279,0.319310619327261,1
"ENSG00000204334.1","Erich2",-0.282135493207794,0.470369738972666,1
"ENSG00000114861.5","Foxp1",-0.281364442457689,0.348143035586114,1
"ENSG00000137745","Mmp13",-0.280924054897783,0.457021938541512,1
"ENSG00000104635.3","Slc39a14",-0.280319301861703,0.406926085610545,1
"ENSG00000163661.1","Ptx3",-0.28010271748197,0.380000953359502,1
"unknown.8275","Samd4",-0.280033212720938,0.290690301601023,1
"ENSG00000178209.2","Plec",-0.279750136177819,0.406926085610545,1
"ENSG00000163220","S100a9",-0.279529650302356,0.307091870348044,1
"ENSG00000178053","Mlf1",-0.279373030431341,0.421525152892324,1
"unknown.5138","Gm4951",-0.278079786311478,0.248128458429633,1
"ENSG00000166592","Rrad",-0.277988478939499,0.42219249420358,1
"ENSG00000156234","Cxcl13",-0.277814176674192,0.238503488662476,1
"ENSG00000206418.1","Rab12",-0.276877878148131,0.450549109852174,1
"unknown.2680","Gm3579",-0.276061987913318,0.351127548782609,1
"unknown.5922","AK142879",-0.275764182924077,0.445206174777933,1
"ENSG00000154319","Fam167a",-0.275696496053297,0.305245383266256,1
"ENSG00000105993.1","Dnajb6",-0.274673118321657,0.377585875387724,1
"unknown.1183","Oasl1",-0.273809833724728,0.470369738972666,1
"ENSG00000056736","Il17rb",-0.273196969954183,0.406926085610545,1
"unknown.5137","AU015263",-0.272319474482789,0.416776620155521,1
"unknown.4364","Csprs",-0.27208245810603,0.278617267266042,1
"unknown.8033","Gm9706",-0.271436987526179,0.482789816138862,1
"ENSG00000268257.3","Airn",-0.270567066392454,0.377585875387724,1
"ENSG00000138685","Fgf2",-0.270259486177159,0.377585875387724,1
"unknown.4091","AA467197",-0.270128155304511,0.372945586641584,1
"ENSG00000130176","Cnn1",-0.269129737259601,0.445206174777933,1
"ENSG00000139132.2","Fgd4",-0.268106800773406,0.377585875387724,1
"ENSG00000185507","Irf7",-0.267679038082953,0.411911822180664,1
"ENSG00000197329.4","Peli1",-0.266485257115704,0.445206174777933,1
"unknown.350","Wisp2",-0.266444505442821,0.399375301483175,1
"unknown.5014","B230216N24Rik",-0.266009331783319,0.430690934975581,1
"LRG_484.3","Gle1",-0.265765144206571,0.505237799608768,1
"ENSG00000175336","Apof",-0.265400265367782,0.476689026853438,1
"unknown.3372","2610012C04Rik",-0.265078807274,0.465709061760164,1
"ENSG00000116690","Prg4",-0.264255720467981,0.312215614255385,1
"ENSG00000166508","Mcm7",-0.264005098242683,0.439706906410126,1
"ENSG00000107099.2","Dock8",-0.263523002651577,0.382127795795077,1
"ENSG00000178031.1","Adamtsl1",-0.26316866382955,0.494383583524165,1
"unknown.3855","6720475M21Rik",-0.263113946670711,0.488684255662722,1
"LRG_886","Actn1",-0.262955031448323,0.390929507292198,1
"ENSG00000100014.1","Specc1l",-0.261461441001649,0.435116392756095,1
"ENSG00000168528","Serinc2",-0.261448355223147,0.550413612053198,1
"ENSG00000196208","Greb1",-0.260505924811184,0.355281895919171,1
"ENSG00000108100.4","Ccny",-0.260462720926778,0.359360513090521,1
"unknown.9207","Gm19966",-0.260397430057814,0.406926085610545,1
"ENSG00000188783.1","Prelp",-0.259833570415162,0.29793660743291,1
"ENSG00000265190.1","Anxa8",-0.259621411158607,0.439706906410126,1
"ENSG00000115457","Igfbp2",-0.259516733941974,0.322310445374773,1
"unknown.6473","D2Ertd282e",-0.258993365338777,0.470493757557979,1
"unknown.7892","2900064B18Rik",-0.257910069103293,0.411911822180664,1
"unknown.8449","9430012M22Rik",-0.257570660888207,0.44367145651341,1
"ENSG00000136546","Scn7a",-0.257529279640765,0.494383583524165,1
"ENSG00000038427.1","Vcan",-0.25735284348012,0.260832670532012,1
"ENSG00000255794.1","Rmst",-0.257337892575889,0.426161854608248,1
"ENSG00000149823","Vps51",-0.257243204905952,0.499898211375668,1
"unknown.7135","Slco1a5",-0.257173323232344,0.411911822180664,1
"unknown.9337","AU042950",-0.257137629781612,0.455742841024798,1
"ENSG00000080007","Ddx43",-0.257067340355192,0.428208454695303,1
"unknown.9095","Ifi202b",-0.256812125901921,0.29793660743291,1
"ENSG00000108771.2","Dhx58",-0.256733238176682,0.505237799608768,1
"unknown.2146","Ccdc19",-0.256669727175854,0.544613302242318,1
"unknown.8818","Gm19313",-0.256230186083055,0.363365544335825,1
"ENSG00000006453.1","Baiap2l1",-0.256202998100668,0.355281895919171,1
"unknown.2178","5430419D17Rik",-0.256073675605288,0.494383583524165,1
"ENSG00000100243.2","Cyb5r3",-0.255946680605164,0.525774372449291,1
"ENSG00000109686.2","Sh3d19",-0.255602500688536,0.455742841024798,1
"unknown.4103","Gm21320",-0.255535199793114,0.455742841024798,1
"ENSG00000196208.2","Greb1",-0.255479955630325,0.511843274216545,1
"ENSG00000134321.1","Rsad2",-0.25512397496225,0.301018540544998,1
"ENSG00000180881.1","Caps2",-0.253781179476732,0.445206174777933,1
"ENSG00000110848","Cd69",-0.253436185666691,0.470493757557979,1
"ENSG00000150773","Pih1d2",-0.253246174394684,0.505237799608768,1
"unknown.3371","2610012C04Rik",-0.252943711018523,0.439442028522158,1
"ENSG00000047457.4","Cp",-0.252759756806659,0.386574627086952,1
"unknown.779","Ifi202b",-0.252007318369295,0.289895841433051,1
"ENSG00000131374","Tbc1d5",-0.251882755669814,0.372945586641584,1
"ENSG00000184979","Usp18",-0.251852668341584,0.315627618363982,1
"ENSG00000163599","Ctla4",-0.251267372151486,0.482789816138862,1
"ENSG00000159200.1","Rcan1",-0.250794707937194,0.44367145651341,1
"ENSG00000101871","Mid1",-0.25069144614511,0.561381886303945,1
"ENSG00000179295","Ptpn11",-0.250528438136853,0.395195440115231,1
"ENSG00000168675.3","Ldlrad4",-0.250064126558708,0.494383583524165,1
"unknown.9176","Mettl20",-0.25000415525218,0.439442028522158,1
"unknown.1319","AF067061",-0.249776992511643,0.614655895398678,1
"ENSG00000152137.1","Hspb8",-0.248826043859277,0.390929507292198,1
"ENSG00000138378","Stat4",-0.248714020237569,0.488684255662722,1
"ENSG00000115295.5","Clip4",-0.248660792655303,0.29793660743291,1
"ENSG00000070882","Osbpl3",-0.248020451228926,0.363365544335825,1
"ENSG00000130303","Bst2",-0.248017252531933,0.390929507292198,1
"unknown.9122","LOC102639232",-0.247931435848794,0.499898211375668,1
"unknown.6658","Gm20555",-0.247929044975259,0.499898211375668,1
