"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000125821","Dtd1",-0.348956846745474,0.301873936401663,1
"unknown.122","Cyp3a11",-0.347781783415172,0.41010369489779,1
"ENSG00000134779.1","Tpgs2",-0.346903788548897,0.214978520484055,1
"ENSG00000120708.3","Tgfbi",-0.346033036224597,0.342472347801466,1
"ENSG00000214102.1","Wee2",-0.344512441562999,0.396126105726276,1
"ENSG00000047249.2","Atp6v1h",-0.342459099611377,0.227277065265944,1
"ENSG00000089505.1","Cmtm1",-0.340640544448916,0.442627102119394,1
"ENSG00000172500.2","Fibp",-0.339602894351914,0.402964372161616,1
"ENSG00000124226.2","Rnf114",-0.337894432286515,0.434993873518577,1
"ENSG00000063015.2","Sez6",-0.337231956210399,0.418755197371233,1
"ENSG00000129197.2","Rpain",-0.33685471835838,0.427043895551524,1
"unknown.28","Kap",-0.336662413321942,0.349183223394928,1
"ENSG00000171320.1","Esco2",-0.335593491287769,0.504404701847167,1
"ENSG00000100368.2","Csf2rb",-0.333114713838841,0.389053693756174,1
"ENSG00000185479","Krt6b",-0.330880776204366,0.496618352682817,1
"ENSG00000213699.2","Slc35f6",-0.330324366298451,0.434993873518577,1
"unknown.6013","Ispd",-0.32335248558673,0.402964372161616,1
"unknown.7475","Chil1",-0.322467252613271,0.168486576644648,1
"ENSG00000184351.1","Krtap19-1",-0.320509185445506,0.488456561745596,1
"ENSG00000120708","Tgfbi",-0.320426959268251,0.402964372161616,1
"unknown.929","Olfr690",-0.320386567464148,0.457021938541512,1
"unknown.8790","C1ra",-0.319889010838278,0.428208454695303,1
"ENSG00000198743.2","Slc5a3",-0.318121917561726,0.186767914528871,1
"ENSG00000140853","Nlrc5",-0.317720910198302,0.368189123523743,1
"ENSG00000167703.2","Slc43a2",-0.315438485864241,0.362033253104165,1
"ENSG00000171862.5","Pten",-0.313054988319729,0.238289607596343,1
"unknown.7040","Reg3b",-0.312942928749018,0.442627102119394,1
"unknown.4509","Wfdc17",-0.311089521185014,0.415986556494832,1
"ENSG00000164168.1","Tmem184c",-0.308300503868576,0.442627102119394,1
"ENSG00000119888.1","Epcam",-0.305043119475834,0.496618352682817,1
"ENSG00000136167","Lcp1",-0.304045864834657,0.329139123918855,1
"unknown.207","Cyp2c29",-0.303687094835744,0.470369738972666,1
"ENSG00000123892.1","Rab38",-0.301104463523422,0.415986556494832,1
"unknown.3851","5830415B17Rik",-0.299743897890066,0.275255618192295,1
"ENSG00000204403.1","Casp12",-0.297912667657094,0.457021938541512,1
"unknown.649","Cd209e",-0.296197796581671,0.518958992444161,1
"ENSG00000118260.1","Creb1",-0.294772837358606,0.568173161752631,1
"ENSG00000159314.2","Arhgap27",-0.294720460927191,0.496618352682817,1
"ENSG00000149131","Serping1",-0.293875270944929,0.323250006784713,1
"ENSG00000170759.5","Kif5b",-0.292943105712176,0.307091870348044,1
"ENSG00000134287.4","Arf3",-0.2928453426781,0.449963661702325,1
"ENSG00000007923.2","Dnajc11",-0.291488684498379,0.504404701847167,1
"ENSG00000120279.2","Myct1",-0.291162767593641,0.42219249420358,1
"ENSG00000121858.1","Tnfsf10",-0.290512616388596,0.333707150905971,1
"ENSG00000241635","Ugt1a1",-0.289271387292046,0.43404370365553,1
"ENSG00000197712.1","Fam114a1",-0.288960428457866,0.415986556494832,1
"ENSG00000221869","Cebpd",-0.28802216383204,0.372945586641584,1
"unknown.7747","Oasl2",-0.287321434863384,0.439706906410126,1
"ENSG00000153904.2","Ddah1",-0.287109362784261,0.368189123523743,1
"ENSG00000003987.1","Mtmr7",-0.284939180769971,0.368203501991179,1
"ENSG00000088325.2","Tpx2",-0.283793457447954,0.470369738972666,1
"ENSG00000170027.3","Ywhag",-0.28356978541034,0.455742841024798,1
"unknown.7161","2310030G06Rik",-0.283512665911567,0.358399447940792,1
"ENSG00000185652","Ntf3",-0.282328296209622,0.499898211375668,1
"ENSG00000174080","Ctsf",-0.28137480119683,0.43404370365553,1
"ENSG00000258818","Rnase4",-0.281255368860052,0.346895248553151,1
"ENSG00000167513.2","Cdt1",-0.280764192445835,0.43404370365553,1
"unknown.584","LOC102640089",-0.280713052622912,0.504404701847167,1
"ENSG00000135899","Sp110",-0.280595026302684,0.402964372161616,1
"ENSG00000132561.1","Matn2",-0.280531853602678,0.298594981116832,1
"LRG_24","C1qc",-0.279578194059358,0.43404370365553,1
"ENSG00000179361.1","Arid3b",-0.279068707311579,0.583132942516488,1
"ENSG00000123106.1","Ccdc91",-0.277945882853902,0.439706906410126,1
"ENSG00000122877","Egr2",-0.277879390244141,0.353329813180129,1
"unknown.4154","AW112010",-0.277726285627714,0.455742841024798,1
"unknown.9243","Tmco5",-0.277367613910194,0.476689026853438,1
"ENSG00000153487.1","Ing1",-0.276449144720007,0.329139123918855,1
"ENSG00000203879","Gdi1",-0.275275818849883,0.463818798256563,1
"ENSG00000162645","Gbp2",-0.27523204885082,0.46079406168304,1
"unknown.595","2610201A13Rik",-0.274669894924039,0.583132942516488,1
"unknown.4327","A630033H20Rik",-0.27410745389169,0.511843274216545,1
"ENSG00000149573.2","Mpzl2",-0.273815935407238,0.401814482317435,1
"unknown.5073","B930053N05Rik",-0.272993812970157,0.385671010023114,1
"LRG_22","C1qa",-0.272737012206422,0.505237799608768,1
"ENSG00000003436","Tfpi",-0.272566333434155,0.538583832280266,1
"ENSG00000197956","S100a6",-0.271581130523642,0.301685068730376,1
"ENSG00000120088.1","Crhr1",-0.271280383756404,0.518958992444161,1
"ENSG00000144152","Fbln7",-0.271116608400085,0.439706906410126,1
"ENSG00000163739.2","Cxcl1",-0.270913154362867,0.445206174777933,1
"ENSG00000119681","Ltbp2",-0.270316408115248,0.342582690125346,1
"unknown.1869","2010309G21Rik",-0.270110408175937,0.42219249420358,1
"ENSG00000157823.1","Ap3s2",-0.269591274328831,0.494383583524165,1
"ENSG00000182968.1","Sox1",-0.269253336598652,0.482789816138862,1
"ENSG00000168958.3","Mff",-0.267854596067066,0.406926085610545,1
"ENSG00000164849.3","Gpr146",-0.267048024799813,0.488684255662722,1
"ENSG00000099860.2","Gadd45b",-0.267036383974956,0.291657334576408,1
"ENSG00000265817","Fsbp",-0.26601217671173,0.494383583524165,1
"unknown.37","Cyr61",-0.265877505690581,0.272786988971774,1
"unknown.3415","9030420N05Rik",-0.265596069514138,0.416776620155521,1
"ENSG00000131724.2","Il13ra1",-0.265325522777652,0.476689026853438,1
"unknown.9414","9330112F22Rik",-0.265185961596704,0.386574627086952,1
"ENSG00000145287","Plac8",-0.265069078467093,0.525774372449291,1
"unknown.3596","4921511E18Rik",-0.264647024345516,0.538583832280266,1
"ENSG00000145623","Osmr",-0.263993126537094,0.323250006784713,1
"unknown.9354","C87033",-0.263937833871981,0.59005413905892,1
"unknown.3983","4921504P13Rik",-0.263867836059954,0.525774372449291,1
"ENSG00000108582","Cpd",-0.26326978681291,0.450549109852174,1
"ENSG00000133874","Rnf122",-0.2630351524848,0.482789816138862,1
"ENSG00000117859.2","Osbpl9",-0.26302617708137,0.390929507292198,1
"ENSG00000088325.3","Tpx2",-0.262549581230183,0.602924045422597,1
"ENSG00000092094.2","Osgep",-0.262126387393658,0.510411324495181,1
"ENSG00000115310.3","Rtn4",-0.26142980857996,0.499898211375668,1
"ENSG00000114796.3","Klhl24",-0.260400481763706,0.327125364256403,1
"ENSG00000173402.3","Dag1",-0.259880319277506,0.352586477959376,1
"ENSG00000140836.2","Zfhx3",-0.258577985220814,0.494383583524165,1
"ENSG00000173402","Dag1",-0.258340797051417,0.327125364256403,1
"ENSG00000163739","Cxcl1",-0.258057397412443,0.463818798256563,1
"ENSG00000166927","Ms4a7",-0.257685251933216,0.55599883905353,1
"unknown.7246","AA517650",-0.256496794242099,0.614655895398678,1
"unknown.8215","4833422B07Rik",-0.256420693089583,0.403471845791405,1
"ENSG00000111348","Arhgdib",-0.256286513565996,0.499898211375668,1
"ENSG00000171992.1","Synpo",-0.256021175516202,0.421525152892324,1
"ENSG00000069493","Clec2d",-0.254970112409212,0.470493757557979,1
"ENSG00000169118.1","Csnk1g1",-0.254966141609936,0.349117781846512,1
"ENSG00000021645.3","Nrxn3",-0.254541753709041,0.416776620155521,1
"unknown.2369","Tmem57",-0.253657784754691,0.33838274649382,1
"ENSG00000110367.3","Ddx6",-0.253092264332753,0.518958992444161,1
"unknown.5679","Ept1",-0.252923365349383,0.374959436447939,1
"unknown.8951","D630038D15Rik",-0.252594304936477,0.33838274649382,1
"unknown.1250","Cecr5",-0.25235818728494,0.488684255662722,1
"unknown.8012","C030014A21Rik",-0.251397649479549,0.450549109852174,1
"ENSG00000155087.1","Odf1",-0.251339177807335,0.538583832280266,1
"ENSG00000157703","Svopl",-0.250822912810772,0.538583832280266,1
"ENSG00000170776.1","Akap13",-0.250672578808512,0.544613302242318,1
"unknown.5262","Gcn1l1",-0.250305725732003,0.416776620155521,1
"ENSG00000115514.1","Txndc9",-0.250116652559611,0.435116392756095,1
"ENSG00000176087.3","Slc35a4",-0.249050045661752,0.596642586281995,1
"ENSG00000000971.1","Cfh",-0.248490119469474,0.46079406168304,1
"ENSG00000126777","Ktn1",-0.248435654308775,0.46079406168304,1
"ENSG00000162645.1","Gbp2",-0.248032744998444,0.561381886303945,1
"ENSG00000110108.4","Tmem109",-0.24721643308862,0.575850116534898,1
"unknown.1687","Vmn2r88",-0.246307842069122,0.511843274216545,1
"unknown.5765","A030014E15Rik",-0.245753251211513,0.596642586281995,1
"ENSG00000148358.1","Gpr107",-0.245725559661615,0.475153719007812,1
"ENSG00000142089","Ifitm3",-0.244517510807299,0.35936712420719,1
"ENSG00000206075.2","Serpinb5",-0.244311486934706,0.59005413905892,1
"ENSG00000151062.1","Cacna2d4",-0.243981366290854,0.331996160027906,1
"ENSG00000121858.2","Tnfsf10",-0.242794267029673,0.435116392756095,1
"ENSG00000110721","Chka",-0.242666696102555,0.411425428553669,1
"ENSG00000170801.2","Htra3",-0.242261260279765,0.518958992444161,1
"ENSG00000182492","Bgn",-0.242043603548304,0.470493757557979,1
"ENSG00000166557.1","Tmed3",-0.241855555018986,0.55599883905353,1
"ENSG00000071991","Cdh19",-0.241854627578241,0.450549109852174,1
"ENSG00000184979","Usp18",-0.241819255717728,0.57158790048308,1
"unknown.7162","Csf2rb2",-0.241755435172627,0.620145661961653,1
"ENSG00000169895.1","Syap1",-0.241646405112946,0.470493757557979,1
"ENSG00000150093.4","Itgb1",-0.241520424870224,0.596642586281995,1
"unknown.6066","A230046K03Rik",-0.241464291875235,0.59005413905892,1
"ENSG00000107201","Ddx58",-0.240807353672254,0.445206174777933,1
"ENSG00000039600","Sox30",-0.240732529384759,0.415287420239689,1
"ENSG00000082556.1","Oprk1",-0.240650197363888,0.602924045422597,1
"ENSG00000132436","Fignl1",-0.240068682819498,0.515427138336915,1
"unknown.9629","Hoxd3os1",-0.239893316426497,0.583132942516488,1
"unknown.5648","2010109A12Rik",-0.239559611337489,0.614655895398678,1
"ENSG00000197045.2","Gmfb",-0.239232020458188,0.538583832280266,1
"unknown.4263","Fyb",-0.239164252594576,0.447808115722124,1
"ENSG00000204472","Aif1",-0.239097430500241,0.544613302242318,1
"ENSG00000204262.1","Col5a2",-0.238364481063395,0.488684255662722,1
"ENSG00000269335.3","Ikbkg",-0.2381277920725,0.479694194621329,1
"unknown.8887","C030023E24Rik",-0.237348948221093,0.544613302242318,1
"unknown.3553","D730048M19Rik",-0.237185069966655,0.525016240060059,1
"ENSG00000163902.5","Rpn1",-0.237034135624714,0.525774372449291,1
"ENSG00000267534.1","S1pr2",-0.236684275876512,0.576431828452282,1
"ENSG00000106366","Serpine1",-0.236113721994072,0.479694194621329,1
"ENSG00000182240","Bace2",-0.235775783164727,0.538583832280266,1
"ENSG00000136155","Scel",-0.235215937040709,0.488436210736417,1
"ENSG00000153395","Lpcat1",-0.234751120615699,0.683489866722675,1
"ENSG00000257780","Glycam1",-0.23396684425405,0.505237799608768,1
"ENSG00000166147.2","Fbn1",-0.233814661722632,0.561381886303945,1
"ENSG00000134595","Sox3",-0.233763016611561,0.544613302242318,1
"ENSG00000076003.2","Mcm6",-0.233718144085433,0.561381886303945,1
"unknown.6948","Il4ra",-0.233586019613186,0.57158790048308,1
"ENSG00000142494","Slc47a1",-0.233448660236341,0.499898211375668,1
"unknown.2987","Psg21",-0.233286320304243,0.538583832280266,1
"unknown.9067","A330076H08Rik",-0.233131564745227,0.35936712420719,1
"unknown.8324","2900018E21Rik",-0.232937282610719,0.59005413905892,1
